Title,Topic,Name,CustomName,Representation,open_ai,Representative_Docs,Top_n_words,Probability,Representative_document
Putting the Ducks in a Row: Development of a Duck-assisted Green Care Intervention for Persons with Traumatic Brain Injury,6,6_related_adolescents_injury_following,Traumatic Brain Injury and Concussion Studies in Young Athletes,"['related', 'adolescents', 'injury', 'following', 'acute', 'cohort', 'associated', 'association', 'differences', 'early']",['Traumatic Brain Injury and Concussion Studies in Young Athletes'],"['Is Overparenting Associated with Adolescent/Young Adult Emotional Functioning and Clinical Outcomes Following Concussion?', 'Access to athletic trainers and sex as modifiers of time to reach clinical milestones after sport-related concussion in collegiate athletes', 'A Prospective Cohort Study of the Association Between Preinjury Psychosocial Function and Postconcussive Symptoms in Pediatric Mild Traumatic Brain Injury: An A-CAP Study']",related - adolescents - injury - following - acute - cohort - associated - association - differences - early,1,FALSE
Repetitive mild traumatic brain injury alters central and peripheral clock gene expression in the adolescent rat,6,6_related_adolescents_injury_following,Traumatic Brain Injury and Concussion Studies in Young Athletes,"['related', 'adolescents', 'injury', 'following', 'acute', 'cohort', 'associated', 'association', 'differences', 'early']",['Traumatic Brain Injury and Concussion Studies in Young Athletes'],"['Is Overparenting Associated with Adolescent/Young Adult Emotional Functioning and Clinical Outcomes Following Concussion?', 'Access to athletic trainers and sex as modifiers of time to reach clinical milestones after sport-related concussion in collegiate athletes', 'A Prospective Cohort Study of the Association Between Preinjury Psychosocial Function and Postconcussive Symptoms in Pediatric Mild Traumatic Brain Injury: An A-CAP Study']",related - adolescents - injury - following - acute - cohort - associated - association - differences - early,1,FALSE
Differences in Velocities of Crucial Body Segments while Executing Roundhouse Kicks for Both Sides,16,16_lower limb_limb_lower_differences,Lower Limb Muscle Strength and Biomechanics Studies,"['lower limb', 'limb', 'lower', 'differences', 'muscle strength', 'healthy', 'time', 'body', 'reliability', 'women']",['Lower Limb Muscle Strength and Biomechanics Studies'],"['Kinematics and muscle activity of the lower limb during single-leg stance on the two sides of the Togu Jumper', 'Can early golfing lead to acetabular and lower limb changes? A cross-sectional study', 'Relationships among lateral medicine ball throw test performance, HIP and trunk muscle strength, and lower limb kinematics: A cross-sectional study']",lower limb - limb - lower - differences - muscle strength - healthy - time - body - reliability - women,0.899881051,FALSE
Reference values for the 6-min walking test in children and adolescents living in a moderate altitude region of Peru,23,23_adolescents_validity_children_study protocol,Physical Activity and Its Effects on Health and Well-being in Children and Adolescents,"['adolescents', 'validity', 'children', 'study protocol', 'physical activity', 'reliability', 'health', 'controlled trial', 'intervention', 'muscle strength']",['Physical Activity and Its Effects on Health and Well-being in Children and Adolescents'],"['Digital Health Nudging to increase physical activity in pediatric patients with congenital heart disease: A randomized controlled trial', 'The Effects of a Physical Activity Intervention on Adiposity, Physical Fitness and Motor Competence: A School-Based, Non-Randomized Controlled Trial', 'Development of the Children and Adolescents Physical Activity and Sedentary Questionnaire (CAPAS-Q): Psychometric Validity and Clinical Interpretation']",adolescents - validity - children - study protocol - physical activity - reliability - health - controlled trial - intervention - muscle strength,1,FALSE
Acute effects of concussion among adolescents with attention-deficit/hyperactivity disorder,6,6_related_adolescents_injury_following,Traumatic Brain Injury and Concussion Studies in Young Athletes,"['related', 'adolescents', 'injury', 'following', 'acute', 'cohort', 'associated', 'association', 'differences', 'early']",['Traumatic Brain Injury and Concussion Studies in Young Athletes'],"['Is Overparenting Associated with Adolescent/Young Adult Emotional Functioning and Clinical Outcomes Following Concussion?', 'Access to athletic trainers and sex as modifiers of time to reach clinical milestones after sport-related concussion in collegiate athletes', 'A Prospective Cohort Study of the Association Between Preinjury Psychosocial Function and Postconcussive Symptoms in Pediatric Mild Traumatic Brain Injury: An A-CAP Study']",related - adolescents - injury - following - acute - cohort - associated - association - differences - early,0.867885948,FALSE
Characterization of pain-related behaviors and gene expression profiling of peripheral sensory ganglia in a mouse model of acute ankle sprain,2,2_pain_chronic_low_syndrome,Chronic Pain Management and Treatment Studies,"['pain', 'chronic', 'low', 'syndrome', 'self', 'acute', 'associated', 'individuals', 'intervention', 'study protocol']",['Chronic Pain Management and Treatment Studies'],"['Effectiveness of physiotherapy interventions for back care and the prevention of non-specific low back pain in children and adolescents: a systematic review and meta-analysis', 'Comparison of the effect of psychosocial skills training on acute and chronic musculoskeletal pain intensity: The effectiveness of early intervention in the reduction of acute musculoskeletal pain', 'Pain catastrophising and kinesiophobia mediate pain and physical function improvements with Pilates exercise in chronic low back pain: a mediation analysis of a randomised controlled trial']",pain - chronic - low - syndrome - self - acute - associated - individuals - intervention - study protocol,1,FALSE
Validity of the frame subtraction method in dynamic postural stability,20,20_control_dynamic_pilot_lower,Postural Stability and Lower Limb Motor Control Studies,"['control', 'dynamic', 'pilot', 'lower', 'lower limb', 'effect', 'muscles', 'year', 'validity', 'motor']",['Postural Stability and Lower Limb Motor Control Studies'],"['Immediate effect of the use of toe separators on dynamic balance and ankle range of motion: a pilot study', ""Transcranial direct current stimulation suggests not improving postural control during adapted tandem position in people with Parkinson's disease: A pilot study"", 'Effect of short foot exercise on lower-limb motor control function during single-leg standing in university students with flatfoot: A randomized controlled trial']",control - dynamic - pilot - lower - lower limb - effect - muscles - year - validity - motor,1,FALSE
"The Interplay Between Fear of Falling, Balance Performance, and Future Falls: Data From the National Health and Aging Trends Study",10,10_dynamic_changes_low_older adults,Impact and Control of Chronic Low Back Pain and Balance in Older Adults,"['dynamic', 'changes', 'low', 'older adults', 'community', 'gait', 'control', 'older', 'relationship', 'risk']",['Impact and Control of Chronic Low Back Pain and Balance in Older Adults'],"['Reliability and criterion validity of handheld dynamometry for measuring trunk muscle strength in people with and without chronic non-specific low back pain', 'The changes of blood-based inflammatory biomarkers after non-pharmacologic interventions for chronic low back pain: a systematic review', 'Prevalence, risk factors and effectiveness of falls prevention interventions for adults living with Mild Cognitive Impairment in the community: A systematic review and meta-analysis']",dynamic - changes - low - older adults - community - gait - control - older - relationship - risk,1,FALSE
Shock Wave Therapy in Plastic Surgery: A Review of the Current Indications,22,22_therapy_controlled trial_randomized controlled trial_versus,Clinical Analysis and Trials in Therapy Treatments,"['therapy', 'controlled trial', 'randomized controlled trial', 'versus', 'clinical trial', 'analysis', 'level', 'use', 'effectiveness', 'trial']",['Clinical Analysis and Trials in Therapy Treatments'],"['Efficacy of Kinesio® tapes in obstetrical brachial plexus injury: a randomized controlled trial; [Efficacité des bandes Kinesio® dans le plexus brachial obstetrical: essai contrôlé randomisé]', 'Extracorporeal shock wave versus cold therapy for delayed-onset muscle soreness: a randomized controlled trial; [Terapia a onde d’urto extracorporee e terapia del freddo per indolenzimento muscolare a insorgenza ritardata: uno studio controllato randomizzato]', 'A randomized clinical trial on the changing of median nerve cross-sectional area and pain after extracorporeal shock wave and low-level laser therapy added to conventional physical therapy in patients with mild-to-moderate carpal tunnel syndrome']",therapy - controlled trial - randomized controlled trial - versus - clinical trial - analysis - level - use - effectiveness - trial,1,FALSE
Mild hypercholesterolemia impacts achilles sub-tendon mechanical properties in young rats,13,13_case_reliability_young_functional,Achilles Tendon Health & Rehabilitation Research,"['case', 'reliability', 'young', 'functional', 'differences', 'versus', 'muscles', 'early', 'chronic', 'validity']",['Achilles Tendon Health & Rehabilitation Research'],"['Return to Sports and Functional Outcomes after Autologous Platelet-Rich Fibrin Matrix (PRFM) and Debridement in Midportion Achilles Tendinopathy: A Case Series with 24-Month Follow-Up', 'Reverse Fragility Index Comparing Rates of Rerupture After Open Achilles Tendon Repair Versus Early Functional Rehabilitation: A Systematic Review of Randomized Controlled Trials', 'Ultrasound is more reliable than clinical tests to both confirm and rule out pathologies of the long head of the biceps: a systematic review and meta-analysis']",case - reliability - young - functional - differences - versus - muscles - early - chronic - validity,1,FALSE
