Authors,Author full names,Author(s) ID,Title,Year,Source title,Link,Abstract,Author Keywords,Index Keywords,clustering_plus_chat_gpt_titles,bertopic_titles,bertopic_abstracts
Sargsyan A.; Beebe L.H.,"Sargsyan, Alex (57219114711); Beebe, Lora H. (7004477207)",57219114711; 7004477207,Putting the Ducks in a Row: Development of a Duck-assisted Green Care Intervention for Persons with Traumatic Brain Injury,2024,Issues in Mental Health Nursing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182424012&doi=10.1080%2f01612840.2023.2281026&partnerID=40&md5=d4b401db03038cf9a387a4d1cda8c845,"Green Care therapies are defined as the engagement of a patient with the nature, exposing patients to a nature based therapeutic setting that may facilitate their recovery. Such therapies became popular at the end of the twentieth century. This therapeutic approach may include therapeutic horticulture, nature therapies, care farming, facilitated exercise, and animal-assisted therapies with farm animals (AATF). This paper describes the processes of planning and creating an AATF-based clinical intervention wherein persons with TBI interacted with ducks (in twice weekly, 1-hour groups) for 12 wk at a TBI rehabilitation facility. The discussion includes site identification, stakeholder engagement, intervention design and human and animal safety procedures. The research methods, theoretical framework, ethical consideration, and risk reduction strategies for human participants and ducks are discussed. Also, description of challenges and blueprints of possible solutions for other researchers interested in developing similar initiatives. This program will serve as a study site for examining effects of AATF-based interventions on self-efficacy, depression, and anxiety in persons with TBI. If the study suggests that AATF interventions with ducks may lead to positive changes, the proposed study will be followed with studies that include larger samples at multiple sites. Findings in this paper may contribute to the implementation science body of knowledge. Because of that, the information in this paper may benefit the researchers outside of the healthcare arena. From that perspective methods described in this paper may help to develop studies that focus on policy development, program expansion, or individual project implementation. © 2024 Taylor & Francis Group, LLC.",,"Animals; Anxiety Disorders; Apoptosis Regulatory Proteins; Brain Injuries, Traumatic; Ducks; Humans; Repressor Proteins; Self Efficacy; AATF protein, human; apoptosis regulatory protein; repressor protein; animal; anxiety disorder; duck; human; self concept; traumatic brain injury","""Traumatic Brain Injury and Concussion: Studies on Impacts, Recovery, and Influences""",Traumatic Brain Injury and Concussion Studies in Young Athletes,Impact of Physical Exercise on Mental Health Disorders
Sgro M.; Ellens S.; Kodila Z.N.; Christensen J.; Li C.; Mychasiuk R.; Yamakawa G.R.,"Sgro, Marissa (57214822523); Ellens, Susanne (57222054268); Kodila, Zoe N. (57488826700); Christensen, Jennaya (57196120685); Li, Crystal (57297696400); Mychasiuk, Richelle (25947635100); Yamakawa, Glenn R. (16029995700)",57214822523; 57222054268; 57488826700; 57196120685; 57297696400; 25947635100; 16029995700,Repetitive mild traumatic brain injury alters central and peripheral clock gene expression in the adolescent rat,2023,Neurobiology of Sleep and Circadian Rhythms,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150395321&doi=10.1016%2fj.nbscr.2023.100090&partnerID=40&md5=2d73d77ac10b118b1f394db3be158ee7,"Mild traumatic brain injury (mTBI) or concussion is a common injury worldwide leading to substantial medical costs and a high burden on society. In adolescents, falls and sports related trauma are often the causes of mTBI. Importantly, critical brain growth and development occurs during this sensitive period making the prospect of a brain injury a worrying phenomenon. Upwards of 70% of patients report circadian disruption following these injuries and this has been shown to impede recovery. Therefore, we sought to determine if core circadian clock gene expression was disrupted in rat model of repetitive mTBI (RmTBI). Male and female adolescent rats (n = 129) received sham or RmTBI. The animals were then euthanized at different times throughout the day and night. Tissue from the hypothalamus, cerebellum, hippocampus, liver, and small intestine were evaluated for the expression of per1, per2, cry1, clock, bmal1 and rev-erb-α. We found most clock genes varied across the day/night indicating circadian expression patterns. In the hypothalamus we found RmTBI altered the expression of cry1 and bmal1 in addition to sex differences in per2, cry1, clock, bmal1 and rev-erb- α. In the cerebellum, per1, per2, cry1, clock, bmal1 and rev-erb-α rhythms were all knocked out by RmTBI in addition to sex differences in cry1, clock and bmal1 expression. We also detected a significant decrease in overall expression of all clock genes in males in the middle of the night. In the hippocampus we found that RmTBI changed the rhythm of rev-erb-α expression in addition to sex differences in bmal1 expression. In the liver we detected strong rhythms in all genes examined, however only per2 expression was knocked out by RmTBI, in addition we also detected sex differences in per2 and cry1. We also detected an overall decrease in female clock gene expression in the early night. In the small intestine, RmTBI altered cry1 expression and there were sex differences in rev-erb-α. These results indicate that RmTBI alters core circadian clock gene expression in the central and peripheral nervous system in a time, tissue and sex dependent manner. This may be disrupting important phase relationships between the brain and peripheral nervous system and contributing to post-injury symptomology and also highlights the importance for time and sex dependent assessment of injury outcomes. © 2023",Circadian; Concussion; Insomnia; Intestine; Liver; Sex differences; Sleep,complementary DNA; cryptochrome 1; cyclophilin A; nuclear receptor NR1D1; PER1 protein; PER2 protein; transcription factor ARNTL; transcription factor CLOCK; tryptophan hydroxylase; tyrosine 3 monooxygenase; adolescent; anesthesia induction; animal experiment; animal model; animal tissue; Article; cerebellar tissue; circadian rhythm; controlled study; female; gene expression; hippocampal tissue; hypothalamic tissue; liver tissue; male; mRNA expression level; nonhuman; rat; real time polymerase chain reaction; reverse transcription polymerase chain reaction; RNA extraction; small intestine tissue; Sprague Dawley rat; traumatic brain injury,"""Traumatic Brain Injury and Concussion: Studies on Impacts, Recovery, and Influences""",Traumatic Brain Injury and Concussion Studies in Young Athletes,Post-Concussion Symptoms and Recovery in Adolescents
Wąsik J.; Mosler D.; Ortenburger D.; Góra T.; Podstawski R.,"Wąsik, Jacek (6603791479); Mosler, Dariusz (56499224400); Ortenburger, Dorota (55185264300); Góra, Tomasz (57191965622); Podstawski, Robert (26867971000)",6603791479; 56499224400; 55185264300; 57191965622; 26867971000,Differences in Velocities of Crucial Body Segments while Executing Roundhouse Kicks for Both Sides,2023,Journal of Human Kinetics,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160246174&doi=10.5114%2fjhk%2f159451&partnerID=40&md5=5a1352d2f2ea155a404cacc88e7281fd,"Lower limb kinematics of the roundhouse kick is a well-known topic studied by many researchers. However, there is a lack of data about the velocity of the core and upper limbs during the execution of this technique. The aim of this study was to evaluate the differences in velocities of all crucial body segments while executing roundhouse kicks for both sides of the body. Thirteen elite taekwon-do athletes participated in this study. They performed kicks to a table tennis ball three times using each leg. The spatial-temporal data of markers placed on toes, knees, hips, shoulders, elbows, hands, and sternum were captured with the use of the Human Motion Lab equipment composed of 10 infrared cameras NIR Vicon MX-T40. There were statistical differences in the maximal velocity of the sternum and opposite shoulder. There were different correlations between the time of acquiring maximal velocities of specific body segments and the maximal velocity of the toe marker for each kicking side. Higher correlations were observed for the left kick despite the participant’s declaration of their preference for the right leg. The obtained results facilitate the conclusion that small non-resistant targets require different motor control depending on the kicking side, despite not revealing significant differences between maximal velocity. While such an indicator could be perceived as a suitable benchmark of an athlete’s performance, more detailed analysis seems to be required for a better understanding of martial arts techniques. © 2023, Termedia Publishing House Ltd.. All rights reserved.",dynamic balancing; kicking kinematics; kicking velocity; movement analysis; taekwon-do,,"""Analysis of Biomechanics, Exercise Techniques, and Physiological Adaptations in Various Physical Activities""",Lower Limb Muscle Strength and Biomechanics Studies,Impact of Exercise on Health and Rehabilitation
Sulla-Torres J.; Vidal-Espinoza R.; Avendaño-Llanque C.; Calla-Gamboa A.; Zúñiga-Carnero M.; Gomez-Campos R.; Cossio-Bolaños M.,"Sulla-Torres, Jose (57190486858); Vidal-Espinoza, Rubén (56624477900); Avendaño-Llanque, Christopher (58408796200); Calla-Gamboa, Alexander (58410237600); Zúñiga-Carnero, Manuel (57930618500); Gomez-Campos, Rossana (36727368100); Cossio-Bolaños, Marco (36642253500)",57190486858; 56624477900; 58408796200; 58410237600; 57930618500; 36727368100; 36642253500,Reference values for the 6-min walking test in children and adolescents living in a moderate altitude region of Peru,2024,BMC Pediatrics,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186217948&doi=10.1186%2fs12887-023-04459-3&partnerID=40&md5=a3974ac9017c6e0d4b003073d9a4cee1,"Background: The assessment of cardiorespiratory fitness is important because it allows the identification of subgroups with poor health status and the targeting of effective intervention strategies to improve health. Objective: To compare the cardiorespiratory capacity of children and adolescents living in a moderate altitude region of Peru with international studies and to develop reference values for the 6-min walk test (6MWT) according to age and sex. Methodology: A descriptive cross-sectional study of schoolchildren from a region of moderate altitude in Peru was carried out. A total of 704 schoolchildren (400 males and 304 females) with an age range of 6 to 17 years were studied. Weight, standing height, waist circumference (WC), body mass index (BMI) and tri-ponderal mass index (TMI) were evaluated. The 6MWT was assessed in a straight line over a distance of 30 m. Percentiles were created through the LMS method [L (skewness: lambda), M (median: mu) and S (coefficient of variation: Mu)]. Results: There were discrepancies in cardiorespiratory fitness performance with international studies by age and sex. The schoolchildren in the study reached stability and the highest number of meters in the last two age ranges (14 to 15 years: 698.1 m and 16 to 17 years 686.3 m in males). While females (14 to 15 years: 698.1 m and 16 to 17 years: 686.3 m). The proposed percentile values show ascending values as age advances. The cut-off points adopted are: low cardiorespiratory fitness < p25, moderate p25 to p75 and high cardiorespiratory fitness p > 75. Conclusion: We verified that the cardiorespiratory fitness evaluated by means of the 6MWT is ascending with the course of age. Even the performance with other countries is heterogeneous at early and middle ages, stabilizing during adolescence. The proposed reference values can be used to evaluate and monitor cardiorespiratory fitness during physical education classes. © The Author(s) 2024.",Adolescents; Children; Moderate altitude); Reference values; Six-minute walk test,Adolescent; Altitude; Body Mass Index; Child; Cross-Sectional Studies; Female; Humans; Male; Peru; Reference Values; Walk Test; Walking; adolescent; altitude; anthropometry; Article; body height; body mass; body weight; cardiorespiratory fitness; child; controlled study; cross-sectional study; descriptive research; female; human; human experiment; male; normal human; Peru; physical activity; reference value; six minute walk test; triponderal mass index; waist circumference; reference value; walk test; walking,"""Physical Activity, Fitness, and Health Studies in Children and Adolescents""",Physical Activity and Its Effects on Health and Well-being in Children and Adolescents,Physical Fitness in Children and Adolescents
Cook N.E.; Gaudet C.E.; Zafonte R.; Berkner P.D.; Iverson G.L.,"Cook, Nathan E. (56382023000); Gaudet, Charles E. (57190564981); Zafonte, Ross (7005063382); Berkner, Paul D. (57189060618); Iverson, Grant L. (57203068870)",56382023000; 57190564981; 7005063382; 57189060618; 57203068870,Acute effects of concussion among adolescents with attention-deficit/hyperactivity disorder,2023,Child Neuropsychology,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144128203&doi=10.1080%2f09297049.2022.2144815&partnerID=40&md5=4c2867e939b6f2f6c1d0d335620fa8cf,"Adolescents with ADHD have a greater lifetime history of concussion and experience concussion-like symptoms in the absence of a concussion, complicating concussion assessment and management. It is well established that individuals who experience greater acute symptoms following concussion are at risk for slower recovery and persistent symptoms. We examined whether youth with ADHD experience worse acute effects, within the first 72 h following concussion, compared to youth without ADHD. We hypothesized that youth with ADHD would perform worse on neurocognitive testing and endorse more severe symptoms acutely following injury, but the magnitude of change from pre injury to post injury would be similar for both groups, and thus comparable to baseline group differences. The sample included 852 adolescents with pre-injury and post-injury ImPACT results (within 72 h); we also conducted supplementary case-control analyses on a subset of youth with and without ADHD matched on demographics and pre-injury health history. For both samples, there were significant interaction effects for the Verbal Memory and Visual Motor Speed composites (p < 0.01, η2=.01–.07, small-medium effect), such that youth with ADHD showed a greater magnitude of diminished cognitive functioning from pre-injury to post-injury testing. There were no significant differences in the magnitudes of changes from pre injury to post injury with regard to overall symptom reporting (i.e., total symptom severity scores, total number of symptoms endorsed); however, there were group differences in endorsement rates for several individual symptoms. Further research is needed to determine whether such differential acute effects are associated with recovery time in youth with ADHD. © 2022 Informa UK Limited, trading as Taylor & Francis Group.",ADHD; cognition; Mild traumatic brain injury; sports,Adolescent; Athletic Injuries; Attention Deficit Disorder with Hyperactivity; Brain Concussion; Cognition; Humans; Neuropsychological Tests; adolescent; Article; attention deficit hyperactivity disorder; cognition; concussion; controlled study; demographics; female; human; juvenile; major clinical study; male; sport; traumatic brain injury; velocity; verbal memory; brain concussion; complication; neuropsychological assessment; psychology; sport injury,"""Traumatic Brain Injury and Concussion: Studies on Impacts, Recovery, and Influences""",Traumatic Brain Injury and Concussion Studies in Young Athletes,Post-Concussion Symptoms and Recovery in Adolescents
Pan Y.; Hu Q.; Yang Y.; Nie H.; Yin C.; Wei H.; Tai Y.; Liu B.; Shen Z.; He X.; Fang J.; Liu B.,"Pan, Yushuang (58112990800); Hu, Qimiao (57201428790); Yang, Yunqin (58238289400); Nie, Huimin (57219903551); Yin, Chengyu (57210233780); Wei, Huina (57579130000); Tai, Yan (57191855580); Liu, Boyu (57209060776); Shen, Zui (56207069200); He, Xiaofen (55807741800); Fang, Jianqiao (12040453300); Liu, Boyi (55801305300)",58112990800; 57201428790; 58238289400; 57219903551; 57210233780; 57579130000; 57191855580; 57209060776; 56207069200; 55807741800; 12040453300; 55801305300,Characterization of pain-related behaviors and gene expression profiling of peripheral sensory ganglia in a mouse model of acute ankle sprain,2023,Frontiers in Behavioral Neuroscience,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161448429&doi=10.3389%2ffnbeh.2023.1189489&partnerID=40&md5=e21d0e158e5dd5f00fdd6ca8b89d7aed,"Introduction: Lateral ankle sprain (LAS) is a very common type of joint injury. It occurred with high incidence among general population and especially among individuals participating sports and outdoor activities. A certain proportion of individuals who once developed LAS may suffer persistent ankle pain that affects daily activities. However, the mechanisms underlying LAS-induced pain still remained largely unknown. Methods: We established a LAS mouse model and systematically evaluated the pain-related behaviors in this mouse model. RNA sequencing (RNA-Seq), combined with bioinformatics analysis, was undertaken to explore gene expression profiles. Immunostaining was used to study glial cell and neuron activation in ipsilateral spinal cord dorsal horn (SCDH) of LAS model mice. Ibuprofen was used to treat LAS model mice. Results: The LAS model mice developed obvious signs of mechanical and heat hypersensitivities as well as gait impairments in ipsilateral hind paws. Besides, LAS model mice developed signs of pain-related emotional disorder, including pain-induced aversion. By RNA-Seq, we were able to identify certain differentially expressed genes and signaling pathways that might contribute to pain mechanisms of LAS mouse model. In addition, LAS model mice showed increased c-Fos and p-ERK immunoreactivity as well as astrocyte and microglia overactivation in ipsilateral spinal cord dorsal horn, indicating central sensitization might occur. Finally, LAS model mice respond to ibuprofen, a drug clinically used to treat ankle sprain pain. Conclusion: Our study found LAS model mice may be used as a preclinical animal model for screening novel targets or therapies for ankle sprain. Thus, the study may further help to understand molecular mechanisms contributing to ankle sprain-induced pain. Copyright © 2023 Pan, Hu, Yang, Nie, Yin, Wei, Tai, Liu, Shen, He, Fang and Liu.",ankle sprain; aversion; dorsal root ganglia; pain; RNA-Seq; spinal cord,ibuprofen; mitogen activated protein kinase; protein c fos; animal experiment; animal model; animal tissue; ankle pain; ankle sprain; Article; astrocyte; aversive behavior; bioinformatics; controlled study; differential gene expression; drug effect; drug response; female; gait disorder; gene expression profiling; glia cell; immunohistochemistry; lateral ankle sprain; lateral ankle sprain; male; mechanical stimulation; microglia; mouse; nerve cell; nonhuman; paw withdrawal threshold; protein protein interaction; RNA sequencing; sensory ganglion; signal transduction; spinal cord dorsal horn; spinal ganglion; stimulus response,"""Pain Management and Musculoskeletal Health in Various Populations""",Chronic Pain Management and Treatment Studies,Advances in Tissue Regeneration and Healing in Musculoskeletal Disorders
Ota M.; Tateuchi H.; Hashiguchi T.; Fujiwara K.; Sasaki A.; Okumura K.; Ichihashi N.,"Ota, Megumi (51461762200); Tateuchi, Hiroshige (14054792400); Hashiguchi, Takaya (57216963209); Fujiwara, Karen (57873963200); Sasaki, Ayano (57874517000); Okumura, Kiseki (57874517100); Ichihashi, Noriaki (25025757500)",51461762200; 14054792400; 57216963209; 57873963200; 57874517000; 57874517100; 25025757500,Validity of the frame subtraction method in dynamic postural stability,2022,"BMC Sports Science, Medicine and Rehabilitation",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139212152&doi=10.1186%2fs13102-022-00570-7&partnerID=40&md5=e8bd486374609c2c5426235d95727817,"Background: The movement of targeted subjects can be calculated using the frame subtraction method. However, the validity of this evaluation method of dynamic postural stability has not been clarified yet. This study aimed to verify the validity of the evaluation method for jump landing using the frame subtraction score based on the ground reaction force (GRF). Methods: Twenty subjects performed single-leg jump landing, and their dynamic postural stability index (DPSI), medial‒lateral stability index (MLSI), anterior‒posterior stability index, and vertical stability index (VSI) were calculated from the GRF. Simultaneously, motion images were captured using digital video cameras in the sagittal and frontal planes. After the motion images were analyzed using the frame subtraction method, the frame subtraction scores in the frontal, sagittal, and combined planes were calculated. To confirm its validity, the relationship between the frame subtraction scores and GRF parameters was investigated using Pearson's correlation analysis. Results: The frame subtraction scores in the frontal and combined planes were significantly correlated with the DPSI, MLSI, and VSI (r = 0.46–0.75, P < 0.05). Conclusions: Therefore, the frame subtraction method could be applied to the evaluation of dynamic postural stability. Markerless systems are deemed useful in clinical practice. © 2022, The Author(s).",Dynamic balance; Frame subtraction method; Markerless system; Motion analysis; Postural stability,adult; Article; body position; building; controlled study; criterion related validity; female; force; ground reaction force; human; human experiment; image subtraction; male; motion; normal human; validity,"""Effects of Various Interventions on Postural Stability and Balance Control""",Postural Stability and Lower Limb Motor Control Studies,Effects of different training methods on athletic performance and injury prevention
Garbin A.J.; Fisher B.E.,"Garbin, Alexander J. (57216462367); Fisher, Beth E. (7402132264)",57216462367; 7402132264,"The Interplay Between Fear of Falling, Balance Performance, and Future Falls: Data From the National Health and Aging Trends Study",2023,Journal of Geriatric Physical Therapy,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150666758&doi=10.1519%2fJPT.0000000000000324&partnerID=40&md5=a717f19120f76d01a684c4744408f5e2,"Background and Purpose: Fear of falling is common in older adults and greatly increases their risk for falls. Interventions aimed at reducing fall risk in older adults with a fear of falling typically aim to improve balance. However, this approach has limited success, and the idea that balance performance impacts fall risk in this population is largely based on research in the general older adult population. The aim of this study was to assess whether presence of fear of falling modifies the relationship between balance performance and future falls in a sample of nationally representative older adults. Methods: We analyzed data from 5151 community-dwelling Medicare beneficiaries (65 years or older) from waves 1 and 2 of the National Health and Aging Trends Study. In this prospective cohort study, balance performance and fear of falling were recorded during wave 1, while a report of a fall was recorded during wave 2 (1-year follow-up). The interplay between fear of falling, balance performance, and fall risk was analyzed using logistic regression with fear of falling as a moderating variable while controlling for common confounding variables. Results: Twenty-seven percent of participants reported a fear of falling at wave 1 while 32.7% reported a fall at wave 2. Reduced balance performance was significantly associated with increased future fall likelihood in individuals with and without a fear of falling (P =.008). Further, the presence of fear of falling did not modify the association between balance and future falls (P =.749). Fear of falling was associated with increased future fall likelihood independent of balance performance (P <.001). Conclusion: These findings demonstrate that fear of falling did not modify the relationship between balance performance and future fall risk, thus suggesting that balance training is appropriate to reduce falls in older adults with a fear of falling. However, balance training alone may be insufficient to optimally reduce falls in older adults with a fear of falling, as the presence of this fear increased future fall risk independent of balance performance. © 2023 Authors. All rights reserved.",balance; falls; fear of falling; interventions,Accidental Falls; Aged; Aging; Fear; Humans; Independent Living; Medicare; Postural Balance; Prospective Studies; United States; aged; aging; article; cohort analysis; community dwelling person; confounding variable; controlled study; fall risk; fear; fear of falling; female; follow up; human; male; medicare; prospective study; public health; risk assessment; trend study; aging; body equilibrium; epidemiology; falling; independent living; prevention and control; United States,"""Balance, Mobility, and Fall Risks in Aging and Musculoskeletal Conditions""",Impact and Control of Chronic Low Back Pain and Balance in Older Adults,Fall Prevention and Balance Improvement in the Elderly
Wigley C.H.; Janssen T.J.; Mosahebi A.,"Wigley, Catrin H (57159595000); Janssen, Tim J (58044282400); Mosahebi, Afshin (55985666400)",57159595000; 58044282400; 55985666400,Shock Wave Therapy in Plastic Surgery: A Review of the Current Indications,2023,Aesthetic Surgery Journal,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148677734&doi=10.1093%2fasj%2fsjac262&partnerID=40&md5=0f234e04badf0508741e30202438dc2c,"Background: Extracorporeal shock wave therapy (ESWT) represents a promising, non-invasive management strategy supporting the treatment of a variety of conditions related to plastic surgery. Objectives: This literature review aimed to give a systematic overview of current applications, its mechanism of action, and its potential to provide tangible therapies in plastic surgery. Methods: The databases PubMed (National Institute of Health, Bethesda, MD), Embase (via Ovid [Elsevier, Amsterdam, the Netherlands]), and the Cochrane Library (Cochrane, London, UK) were searched for articles published up to June 1, 2021. Clinical studies of any design including ESWT in the context of plastic surgery were included. Two reviewers extracted data, and 46 articles were analyzed after application of the inclusion and exclusion criteria. Results: Forty-six included studies (n = 1496) were categorized into the following broad themes: cellulite/body contouring/skin rejuvenation, burns/scar treatment, diabetic foot ulcers/chronic wound, and future perspectives of ESWT. Overall, applications of ESWT were heterogenous, and the majority of studies reported effectiveness of ESWT as an alternative treatment technique. Flawed methodology and differences in technical standards limit the outcome and conclusion of this review. Conclusions: There is yet insufficient evidence to support the effectiveness of any specific intervention included in this review; however, all included studies reported improvements in key outcomes. Where reported, ESWT displayed a good safety profile with no serious adverse events. Further research is needed to provide more evidence to delineate the indications of ESWT in plastic surgery.  © 2022 The Author(s). Published by Oxford University Press on behalf of The Aesthetic Society. All rights reserved.",,"Cicatrix; Extracorporeal Shockwave Therapy; Humans; Plastic Surgery Procedures; Surgery, Plastic; Treatment Outcome; antiinfective agent; botulinum toxin A; collagen; elastin; endothelial nitric oxide synthase; sodium chloride; steroid; topical agent; triamcinolone; triamcinolone acetonide; adipogenesis; analytic method; angiogenesis; Article; blood flow; body contouring; body image; breast cancer; burn scar; cancer staging; cell proliferation; chronic venous ulcer; chronic wound; Cochrane Library; cohort analysis; collagenometry; cutaneous parameters; dermis; diabetic foot; diabetic wound; digital technology; donor; elasticity; Embase; epithelization; exercise; female; flexion contracture; gynoid lipodystrophy; human; hypertrophic scar; intralesional drug administration; laser Doppler flowmetry; lipodystrophy; lipolysis; low energy radiation; lymphedema; Medline; nuclear magnetic resonance imaging; pain; pain threshold; patient satisfaction; plantar flexion contracture; plastic surgery; Preferred Reporting Items for Systematic Reviews and Meta-Analyses; pressure necrosis; pruritus; pulse rate; quality of life; questionnaire; range of motion; reconstructive surgery; rejuvenation; sacroiliac decubital necrosis; shock wave therapy; skin rejuvenation; skin transplantation; skin water loss; stimulation; subcutaneous fat; surgical debridement; systematic review; thigh circumference; three-dimensional imaging; treatment failure; treatment indication; ulcer; ultrasound therapy; vascularization; scar; treatment outcome","""Advancements and Efficacy of Therapies in Orthopedics and Sports Medicine""",Clinical Analysis and Trials in Therapy Treatments,Management and Treatment of Chronic Musculoskeletal Pain
Waugh C.M.; Mousavizadeh R.; Lee J.; Screen H.R.C.; Scott A.,"Waugh, Charlie M. (37076387000); Mousavizadeh, Rouhollah (55922143200); Lee, Jenny (57208594828); Screen, Hazel R. C. (6505943643); Scott, Alexander (57208635380)",37076387000; 55922143200; 57208594828; 6505943643; 57208635380,Mild hypercholesterolemia impacts achilles sub-tendon mechanical properties in young rats,2023,BMC Musculoskeletal Disorders,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152345021&doi=10.1186%2fs12891-023-06375-0&partnerID=40&md5=3e39b322f1a27ce9ea961927eec6f7bb,"Background: Hypercholesterolemia is associated with tendon pathology, but the reasons underpinning this relationship are not well understood. Cholesterol can accumulate in the tendon non-collagenous matrix which may affect both global and local tissue mechanics. Changes to the local strain environment within tendon may have significant implications for mechanosensitive tenocytes. Here, we investigated the association between elevated blood cholesterol and presence of tendon lipids in the Achilles tendon. We expected lipids to be localised in the proteoglycan-rich inter-sub-tendon matrix (ISTM), therefore we also sought to examine the impact of this on the biomechanical and viscoelastic properties of the ISTM. Methods: The Achilles tendons of 32 young wild-type (SD) and 32 apolipoprotein E knock-out rats (ApoE−/−) were harvested at 15.6 ± 2.3 weeks of age. 32 specimens underwent histological examination to assess the distribution of lipids throughout sub-tendons and ISTM. The remaining specimens were prepared for biomechanical testing, where the ISTM between the gastrocnemius and soleus sub-tendons was subjected to shear load mechanical testing. A sub-set of tests were video recorded to enable a strain analysis. Results: ApoE−/− serum cholesterol was double that of SD rats (mean 2.25 vs. 1.10 mg/ml, p < 0.001) indicating a relatively mild hypercholesterolemia phenotype. Nonetheless, we found histological evidence of esterified lipids in the ISTM and unesterified lipids in the sub-tendons, although the location or intensity of staining was not appreciably different between rat strains. Despite a lack of observable histological differences in lipid content between groups, there were significant differences in the mechanical and viscoelastic behaviour of the Achilles sub-tendon matrix. Conclusion: Even slightly elevated cholesterol may result in subtle changes to tendon biomechanical properties and hence injury risk. The young age of our cohort and the mild phenotype of our ApoE−/− rats are likely to have limited our findings and so we also conclude that the ApoE−/− rat model is not well suited for investigating the biomechanical impact of tendon xanthomas on Achilles sub-tendon function. © 2023, The Author(s).",Biomechanical properties; Force relaxation; Histology; Lipids; Xanthoma,"Achilles Tendon; Animals; Biomechanical Phenomena; Cholesterol; Hypercholesterolemia; Rats; Rats, Sprague-Dawley; apolipoprotein E; collagen type 1; fructose; lipid; oxidized low density lipoprotein; viscoelastic substance; cholesterol; achilles tendon; animal cell; animal experiment; animal model; animal tissue; Article; biomechanics; environmental enrichment; esterification; female; genotype; graft harvesting; histopathology; hypercholesterolemia; knockout rat; lipid diet; lipid storage; male; mechanical test; nonhuman; oxidative stress; phenotype; rat; soleus muscle; statistical analysis; tendon injury; viscoelasticity; wild type; achilles tendon; animal; hypercholesterolemia; injury; pathology; Sprague Dawley rat","""Achilles Tendinopathy and Musculoskeletal Ultrasound Studies in Sport Medicine""",Achilles Tendon Health & Rehabilitation Research,Advances in Tissue Regeneration and Healing in Musculoskeletal Disorders
